5212 84
-77.275453 -23.770108 37.478078
-77.150800 -22.554353 34.138760
-77.117966 -22.315791 30.869281
-76.680147 -25.969633 34.079442
-76.503930 -28.862078 38.875108
-76.350086 -26.644370 29.303182
-75.464263 -32.402773 37.739071
-74.502235 -31.493511 30.773392
-74.957635 -32.807191 33.303931
-77.418000 -24.789561 46.932796
-77.454866 -24.293382 43.145684
-77.125006 -26.254759 39.764432
-76.967922 -27.450455 43.363754
-76.877384 -28.607445 46.481937
-76.427139 -31.176699 48.099342
-76.325686 -31.125249 44.971226
-75.569252 -34.878724 46.512051
-75.662900 -32.844478 40.864197
-77.238651 -25.967417 51.943075
-76.781092 -29.611007 52.804450
-76.886767 -26.251241 58.773183
-76.570268 -30.505649 57.235937
-76.165760 -33.393365 54.769510
-75.988587 -33.774642 51.742055
-76.573890 -29.714598 59.536707
-76.605835 -25.147186 62.230816
-76.348624 -29.402444 62.437085
-76.072185 -32.954551 60.691911
-76.049909 -27.357815 65.882832
-75.653870 -31.942255 65.822103
-75.876335 -25.659788 68.028407
-75.562773 -30.075025 67.924197
-75.025500 -35.848892 66.521720
-75.067690 -34.290899 68.546521
-75.077794 -28.885503 71.210033
-74.641223 -31.911438 71.972172
-74.870540 -26.496441 73.065028
-73.986827 -29.870828 74.751038
-73.373282 -33.808998 74.456641
-73.492248 -26.904362 77.141774
-72.933320 -32.816128 76.464585
-72.164042 -28.756422 79.887313
-70.982032 -35.950534 79.674229
-71.448582 -32.017673 80.561722
-70.925702 -26.125038 82.790542
-70.364839 -30.273377 83.014669
-69.347498 -29.371474 84.960191
-68.314674 -32.281016 85.736742
-66.417439 -16.349374 -17.411697
-70.867005 -14.592820 -5.534584
-70.127806 -6.348155 -4.299508
-69.675851 -15.609636 -9.490521
-69.264132 -8.571600 -7.538705
-69.041403 -10.486327 -10.536657
-68.348116 -14.456928 -14.213376
-67.760644 -10.480761 -15.348575
-75.365864 -14.577209 4.670327
-75.663409 -5.955083 4.120881
-75.103937 -11.682042 2.683539
-73.337565 -15.142026 2.169391
-72.677486 -13.145550 -1.034303
-72.674054 -7.709032 -1.232749
-71.292865 -16.403189 -3.148465
-71.849808 -10.316854 -3.098414
-77.257457 -17.022294 16.190517
-76.218793 -13.382773 13.032595
-75.998686 -10.516379 15.154204
-75.632473 -9.430221 10.114860
-75.455054 -8.277024 12.632054
-75.240146 -6.343620 7.565096
-76.332892 -17.218143 26.085946
-77.064499 -11.429541 24.948973
-76.511240 -14.610155 24.277291
-76.136491 -18.078864 23.408911
-77.383550 -11.976449 22.343486
-77.091935 -15.072258 21.041902
-76.762317 -18.270636 19.796239
-76.808626 -14.517080 17.923187
-76.843683 -12.100421 19.266261
-78.015033 -15.217001 37.013340
-77.641867 -12.535212 32.516072
-77.525505 -20.893274 37.105822
-77.231878 -17.137819 31.909207
